Epoch,Train Loss,Train Accuracy,Train Time (s),Test Loss,Test Accuracy,Inference Time (s)
1,1.5901412780937332,42.526,16.298959255218506,,,
2,1.3403386366946617,51.758,15.065376043319702,,,
3,1.2221442409183667,56.056,15.08038878440857,,,
4,1.1311980565185742,59.698,19.479920625686646,,,
5,1.0421405372107426,62.664,22.36811399459839,1.2024453229205623,57.78,2.702225923538208
6,0.8658888821711626,69.136,21.919790267944336,,,
7,0.7263524680567519,74.196,21.96985363960266,,,
8,0.5891556142236266,79.076,21.994245290756226,,,
9,0.45765228363711513,83.718,22.018678665161133,,,
10,0.3549492212245836,87.428,21.944440364837646,1.4933679297471503,59.02,2.7130930423736572
11,0.2808137196199516,90.056,21.996159076690674,,,
12,0.22465706053559129,92.12,21.37521505355835,,,
13,0.1976579794460131,92.986,21.759830713272095,,,
14,0.17271822238402904,93.912,21.74360728263855,,,
15,0.16226353636368765,94.21,21.749744653701782,1.9450602721256816,59.27,2.7403786182403564
16,0.14844728117842046,94.746,21.765193223953247,,,
17,0.13551026509593592,95.298,21.7370867729187,,,
18,0.1246870690265961,95.61,21.727747201919556,,,
19,0.11992551935265017,95.81,21.74209213256836,,,
20,0.11941173598241737,95.932,21.545326471328735,2.040526326294917,58.61,2.981214761734009
21,0.10105790187011632,96.468,21.964884996414185,,,
22,0.10808415948282309,96.174,21.75028967857361,,,
23,0.10243965973339193,96.422,21.7660391330719,,,
24,0.09829021272216173,96.57,21.745505571365356,,,
25,0.08876941981010825,96.9,21.74328112602234,2.1641643001775073,58.87,2.7457897663116455
26,0.08934512357239413,96.868,21.73680329322815,,,
27,0.09101559636611825,96.894,21.4317467212677,,,
28,0.08142234420027498,97.172,21.690350770950317,,,
29,0.08693196467252548,96.954,21.757059335708618,,,
30,0.07837655920031554,97.268,21.726163148880005,2.188240776016454,59.71,2.6908299922943115
